Codigo;Descripción;Producto;Des. Producto;Des. Familia
012F43NL;FS-C5030N;1T02F30EU0;TK-510K;CONSUMIBLES B/N
012F43NL;FS-C5030N;1T02F3AEU0;TK-510Y;CONSUMIBLES COLOR
012F43NL;FS-C5030N;1T02F3BEU0;TK-510M;CONSUMIBLES COLOR
012F43NL;FS-C5030N;1T02F3CEU0;TK-510C;CONSUMIBLES COLOR
012F83NL;FS-2000D;1T02F80EUC;TK-310;CONSUMIBLES B/N
012F93NL;FS-3900DN;0T2F80EU;TK-310;CONSUMIBLES B/N
012F93NL;FS-3900DN;1T02F90EU0;TK-320;CONSUMIBLES B/N
012FZ3NL;KM-C2520;1T02FZ0EU0;TK-825K;CONSUMIBLES B/N
012FZ3NL;KM-C2520;1T02FZAEU0;TK-825Y;CONSUMIBLES COLOR
012FZ3NL;KM-C2520;1T02FZBEU0;TK-825M;CONSUMIBLES COLOR
012FZ3NL;KM-C2520;1T02FZCEU0;TK-825C;CONSUMIBLES COLOR
012G63NL;FS-1030D;1T02G60DE0;TK-120;CONSUMIBLES B/N
012GA3NL;FS-4000DN;0T2F80EU;TK-310;CONSUMIBLES B/N
012GA3NL;FS-4000DN;1T02F90EU0;TK-320;CONSUMIBLES B/N
012GA3NL;FS-4000DN;1T02GA0EU0;TK-330;CONSUMIBLES B/N
012GM3NL;FS-1118MFP;1T02FM0EU0;TK18;CONSUMIBLES B/N
012GM3NL;FS-1118MFP;370PU5KW;TK-100;CONSUMIBLES B/N
012GN3NL;KM-3050;1T02GR0EU0;TK-715;CONSUMIBLES B/N
012GP3NL;KM-4050;1T02GR0EU0;TK-715;CONSUMIBLES B/N
012GR3NL;KM-5050;1T02GR0EU0;TK-715;CONSUMIBLES B/N
012H03NL;KM-2560;1T02H00EU0;TK-675;CONSUMIBLES B/N
012H43EU;FS-1350DN;1T02HS0EU0;TK-130;CONSUMIBLES B/N
012H43EU;FS-1350DN;1T02HS0EUC;TK-130;CONSUMIBLES B/N
012H53EU;FS-1100;1T02H50EU0;TK-140;CONSUMIBLES B/N
012H73NL;TASKALFA 500CI;1T02H70EU0;TK-855K;CONSUMIBLES B/N
012H73NL;TASKALFA 500CI;1T02H7AEU0;TK-855Y;CONSUMIBLES COLOR
012H73NL;TASKALFA 500CI;1T02H7BEU0;TK-855M;CONSUMIBLES COLOR
012H73NL;TASKALFA 500CI;1T02H7CEU0;TK-855C;CONSUMIBLES COLOR
012HA3NL;KM-2035;370AM010;TK-410;CONSUMIBLES B/N
012HB3NL;KM-1635;370AM010;TK-410;CONSUMIBLES B/N
012HJ3NL;FS-C5015N;1T02HJ0EU0;TK-520K;CONSUMIBLES B/N
012HJ3NL;FS-C5015N;1T02HJAEU0;TK-520Y;CONSUMIBLES COLOR
012HJ3NL;FS-C5015N;1T02HJBEU0;TK-520M;CONSUMIBLES COLOR
012HJ3NL;FS-C5015N;1T02HJCEU0;TK-520C;CONSUMIBLES COLOR
